Continent,state,Name,summit,broadrelief,steeprelief,lat,lon,broadcoord.X,broadcoord.Y,steepcoord.X,steepcoord.Y
NORTHERN AMERICA,California,Mount Pinos,2696,2298,1349,34.8128,-119.1454,-119.452307152389,35.0648510571102,-119.17269507863,34.8917150530457
SOUTHERN AMERICA,Haiti,Pic la Selle,2674,2674,2103,18.3602388888889,-71.9766833333333,-72.2350270383055,18.6061214675014,-72.2350270383055,18.6061214675014
NORTHERN AMERICA,Texas,Guadalupe Peak,2667,1543,1292,31.89155,-104.86065,-105.098312844588,32.092571014978,-104.881102772378,31.8876253641349
NORTHERN AMERICA,Montana,Snowshoe Peak,2665,2022,1654,48.2231,-115.689,-115.616689803177,48.2983053507002,-115.744639426762,48.2128792391839
EUROPE,Macedonia,Velika Rudoka,2660,2238,2000,41.9183333333333,20.7763888888889,20.4516787976886,42.1601937128311,20.4516787976886,42.1601937128311
NORTHERN AMERICA,Washington,Remmel Mountain,2649,1417,1035,48.9234,-120.1968,-120.562401858024,49.1618762305784,-120.562401858024,49.1618762305784
NORTHERN AMERICA,Arizona,Mica Mountain,2641,1645,1151,32.22,-110.543333333333,-110.825559081841,32.4583414232424,-110.562271680983,32.2332097762836
NORTHERN AMERICA,Sonora,Cerro Pico Guacamayas,2620,1439,1106,29.9533333333333,-108.839444444444,-109.114159035441,30.1925090572008,-109.114159035441,30.1925090572008
NORTHERN AMERICA,Nunavut,Barbeau Peak,2616,1122,834,81.9147611111111,-75.0092333333333,-76.7317430496838,82.1460075694199,-76.7317430496838,82.1460075694199
EUROPE,Switzerland,Grauspitz,2600,2169,2139,47.0527777777778,9.58138888888889,9.23523336120914,47.2889594689254,9.23523336120914,47.2889594689254
NORTHERN AMERICA,Greenland,Avannaarsua High Point,2600,0,0,77.5,-47.6167,-48.7176878681275,77.7318122645997,-48.7176878681275,77.7318122645997
NORTHERN AMERICA,Alaska,8517 Peak,2596,2233,1816,60.9283,-142.5237,-142.557632353308,61.0172765180747,-142.580546643087,60.9050891237288
NORTHERN AMERICA,Alaska,Devils Paw,2593,2588,2306,58.7289,-133.8402,-134.29321659706,58.9631806995474,-134.29321659706,58.9631806995474
NORTHERN AMERICA,Alaska,Hanagita Peak,2592,2430,2260,61.067,-143.7075,-144.193433799881,61.2990560452585,-144.193433799881,61.2990560452585
NORTHERN AMERICA,British Columbia,Shedin Peak,2588,2140,1772,55.9392,-127.4799,-127.89855614763,56.1719628372822,-127.527967653575,55.923428194373
NORTHERN AMERICA,Alaska,Stony Peak,2587,2207,2085,61.495,-153.6224,-154.114120033043,61.7274777502965,-154.114120033043,61.7274777502965
NORTHERN AMERICA,Arizona,Hualapai Peak,2568,1501,1057,35.0751,-113.8979,-114.190025181984,35.3152773956396,-113.926027214949,35.0857779972807
NORTHERN AMERICA,Idaho,Cinnabar Mountain,2563,1426,1071,42.9805,-116.6575,-116.927033558223,43.1767297789671,-116.927033558223,43.1767297789671
NORTHERN AMERICA,Texas,Baldy Peak,2554,877,697,30.6356,-104.1737,-104.211712711546,30.611736192634,-104.405175485626,30.8347823143636
NORTHERN AMERICA,Alaska,Tetlin Peak,2550,1524,1227,62.6215,-143.1084,-143.140015151335,62.5799999824788,-143.611526775358,62.8505133714916
NORTHERN AMERICA,Chiapas,Cerro Tres Picos,2550,2516,2220,16.197,-93.6112,-93.8517835141129,16.4300524824872,-93.8517835141129,16.4300524824872
NORTHERN AMERICA,Washington,Mount Saint Helens,2549,2407,1991,46.1914,-122.1956,-122.529588413655,46.4209952897423,-122.139566085951,46.1988083692438
EUROPE,Romania,Moldoveanu,2544,2113,1460,45.6,24.7361111111111,24.7135816888983,45.6876766309171,24.7809379375012,45.6381849863866
NORTHERN AMERICA,Alaska,Necons Peak,2541,2196,1883,61.1125,-153.469,-153.946043068129,61.3401894110837,-153.529892976164,61.0942238566462
EUROPE,Albania,Zla Kolata,2525,2303,1912,42.485,19.8961111111111,19.5851292216711,42.7143605132734,19.9328875811902,42.4582122120228
NORTHERN AMERICA,Alaska,Mount Igikpak,2523,2303,2032,67.4129,-154.9656,-155.555955616505,67.6375573644985,-155.555955616505,67.6375573644985
NORTHERN AMERICA,Alaska,Mount Pavlof,2515,2515,2430,55.4173,-161.8932,-162.296364836433,55.644470600541,-162.296364836433,55.644470600541
NORTHERN AMERICA,Arizona,Kanabownits Lookout,2512,1742,1239,36.29,-112.2125,-112.286320461944,36.248207007881,-112.484712397439,36.5092634654575
NORTHERN AMERICA,Alaska,Mount Veniaminof,2507,2467,2153,56.2194,-159.2975,-159.707803055777,56.4449981039579,-159.707803055777,56.4449981039579
EUROPE,Slovakia,Rysy,2501,1832,1392,49.1794444444444,20.0880555555556,19.7420089862901,49.4049329335376,20.1413042253338,49.1446790349539
NORTHERN AMERICA,Alaska,Isanotski Peaks,2471,2471,2373,54.768,-163.7291,-164.11709741597,54.9911961387056,-163.74594232641,54.7313024722732
EUROPE,Norway,Galdhøpiggen,2469,1987,1754,61.6363888888889,8.3125,7.83765655518143,61.8599503037537,8.27483563528488,61.6678356596263
NORTHERN AMERICA,California,Mount Linn,2468,2101,1266,40.0365,-122.8542,-123.150387385977,40.2640203421706,-123.150387385977,40.2640203421706
NORTHERN AMERICA,Alaska,Mount Chosin Few,2464,2396,2184,60.8299,-145.1335,-145.280626746634,60.7825683704794,-145.591938332476,61.0511066533929
NORTHERN AMERICA,Alaska,Accomplishment Peak,2452,1779,1322,68.4433,-148.0947,-148.701392084656,68.6628002674503,-148.701392084656,68.6628002674503
SOUTHERN AMERICA,Honduras,Pico Bonito,2450,2447,1833,15.5575,-86.8756,-87.1056020721066,15.7797379559143,-86.9025859730905,15.5358543207288
NORTHERN AMERICA,Alaska,Peak 8010 (Alaska),2441,2380,2365,61.1605,-144.8129,-145.271832990996,61.379276703343,-145.271832990996,61.379276703343
NORTHERN AMERICA,Alaska,Bashful Peak,2440,2425,2175,61.3076,-148.8697,-149.330987104646,61.5262768169012,-149.330987104646,61.5262768169012
NORTHERN AMERICA,Greenland,Sukkertoppen,2440,0,0,66.2,-52.35,-52.8991610039729,66.4185199993773,-52.8991610039729,66.4185199993773
NORTHERN AMERICA,Washington,Mount Olympus,2432,2282,2099,47.8013,-123.7108,-124.039574005046,48.0209542924246,-124.039574005046,48.0209542924246
NORTHERN AMERICA,British Columbia,Mount Crysdale,2429,1770,1507,55.9383,-123.421,-123.761340605709,56.1272041873904,-123.761340605709,56.1272041873904
NORTHERN AMERICA,California,Clark Mountain,2418,1454,1025,35.5256,-115.5887,-115.533181273543,35.5349157718304,-115.867490701262,35.7531709881138
NORTHERN AMERICA,Arizona,Cape Final,2413,1683,1254,36.1422222222222,-111.908055555556,-112.167795322046,36.3508851536169,-111.919886575031,36.128117643449
NORTHERN AMERICA,Yukon,Fox Mountain,2404,1284,1067,61.9224,-133.3677,-133.830974197617,62.137741329797,-133.830974197617,62.137741329797
EUROPE,Bosnia-Herzegovina,Veliki Maglić,2386,1905,1581,43.2811111111111,18.7330555555556,18.4352661536718,43.4982325517603,18.4352661536718,43.4982325517603
NORTHERN AMERICA,Texas,Emory Peak,2381,1382,1038,29.246,-103.3053,-103.525501157509,29.4387533433695,-103.525501157509,29.4387533433695
NORTHERN AMERICA,Yukon,Mount Frank Rae,2362,1330,1114,64.4706,-138.5553,-138.998722928559,64.6588848571473,-138.595526876994,64.473420009885
NORTHERN AMERICA,Montana,Northwest Peak,2350,1312,1028,48.9632,-115.9683,-115.992424084742,49.0057748235812,-116.270137663976,49.160495402502
NORTHERN AMERICA,Nunavut,Beitstad Peak,2347,2065,882,78.8007,-79.5292,-79.0967537923509,78.7704289031545,-80.6375614192709,79.0105585844997
SOUTHERN AMERICA,Haiti,Pic Macaya,2347,2347,2022,18.3822,-74.0243,-74.2516501185473,18.5989398485089,-74.2516501185473,18.5989398485089
SOUTHERN AMERICA,Honduras,Sierra de Agalta High Point,2335,2026,1687,14.9576,-85.9165,-85.8842087762589,14.8715138494502,-85.9027892256989,14.941557746872
NORTHERN AMERICA,Alaska,Mount Griggs,2332,2317,2095,58.3534,-155.0958,-155.499149245341,58.5639728401806,-155.078275446166,58.3895350064085
NORTHERN AMERICA,Greenland,Reval Toppen,2320,0,0,76.6606,-25.7067,-26.6261131774422,76.8688052897892,-26.6261131774422,76.8688052897892
NORTHERN AMERICA,Oaxaca,Cerro Atravesado,2310,2219,1603,16.7652,-94.4514,-94.670131557397,16.9747662934834,-94.4236877575169,16.7399420972596
NORTHERN AMERICA,Alaska,Cleave Peak,2301,2235,2127,61.1256,-145.3006,-145.73269800072,61.3323498851013,-145.73269800072,61.3323498851013
NORTHERN AMERICA,Arizona,Vishnu Temple,2296,1635,1358,36.0888888888889,-111.935555555556,-112.182506578211,36.2874873345948,-112.182506578211,36.2874873345948
EUROPE,Svalbard,Jan Mayen,2277,2277,2277,71.0822222222222,-8.17833333333333,-8.81743951394137,71.2859772061575,-8.81743951394137,71.2859772061575
NORTHERN AMERICA,Greenland,Perserajoq,2259,0,0,71.4,-51.9667,-52.6113173793577,71.6031179041001,-52.6113173793577,71.6031179041001
SOUTHERN AMERICA,Jamaica,Blue Mountain Peak,2256,2256,2046,18.0464444444444,-76.5788444444444,-76.7935414095001,18.252276308665,-76.7935414095001,18.252276308665
NORTHERN AMERICA,Washington,Abercrombie Mountain,2229,1622,1206,48.9284,-117.46,-117.752825623808,49.1202345469005,-117.752825623808,49.1202345469005
